,ID,Confidence,Boro,Date,Latitude,Longitude,Postcode,GoogleStreetViewURL
22,4580531,0.5,Manhattan,2023-09-01,40.768005,-73.9682,10037,"https://www.google.com/maps/@40.768005,-73.9682,3a,20y,132.44h,73.06t/data=!3m6!1e1!3m4!1skHX5aABxnihAQpqOu3WoQg!2e0!7i16384!8i8192?entry=ttu"
23,4587873,0.5,Manhattan,2021-08-01,40.826656,-73.950195,10031,"https://www.google.com/maps/@40.826656,-73.950195,3a,20y,101.42h,88.80t/data=!3m6!1e1!3m4!1sRpiNHJAx2SnnxuLypNCfUQ!2e0!7i16384!8i8192?entry=ttu"
24,4611362,1.0,Manhattan,2023-09-01,40.771736,-73.96326,10021,"https://www.google.com/maps/@40.771736,-73.96326,3a,20y,340.99h,78.56t/data=!3m6!1e1!3m4!1sgyJdASPfTLw_92PRX6Pg-A!2e0!7i16384!8i8192?entry=ttu"
25,5531063,1.0,Manhattan,2023-09-01,40.76751,-73.968575,10037,"https://www.google.com/maps/@40.76751,-73.968575,3a,20y,161.64h,78.25t/data=!3m6!1e1!3m4!1sFycz3C-kvqN0wC4gtUu5Eg!2e0!7i16384!8i8192?entry=ttu"
26,5531112,0.5,Manhattan,2023-09-01,40.76751,-73.968575,10037,"https://www.google.com/maps/@40.76751,-73.968575,3a,20y,164.22h,80.36t/data=!3m6!1e1!3m4!1sFycz3C-kvqN0wC4gtUu5Eg!2e0!7i16384!8i8192?entry=ttu"
27,5681773,0.5,Manhattan,2021-07-01,40.740707,-74.00477,10011,"https://www.google.com/maps/@40.740707,-74.00477,3a,20y,217.12h,89.54t/data=!3m6!1e1!3m4!1sr1eh-qXVqvRDMxlik5Z5og!2e0!7i16384!8i8192?entry=ttu"
28,5681800,0.5,Manhattan,2021-07-01,40.740707,-74.00477,10011,"https://www.google.com/maps/@40.740707,-74.00477,3a,20y,229.26h,92.67t/data=!3m6!1e1!3m4!1sr1eh-qXVqvRDMxlik5Z5og!2e0!7i16384!8i8192?entry=ttu"
29,5764619,1.0,Manhattan,2022-08-01,40.756836,-73.99384,10018,"https://www.google.com/maps/@40.756836,-73.99384,3a,20y,315.38h,92.60t/data=!3m6!1e1!3m4!1sD4-1S2ZjaHpGkM2sHwh4NA!2e0!7i16384!8i8192?entry=ttu"
30,6412135,1.0,Manhattan,2023-03-01,40.802746,-73.96711,10025,"https://www.google.com/maps/@40.802746,-73.96711,3a,20y,147.85h,90.61t/data=!3m6!1e1!3m4!1sHjF4wAhVtDxGX3fyo58Orw!2e0!7i16384!8i8192?entry=ttu"
31,6567279,1.0,Manhattan,2022-08-01,40.756763,-73.9939,10018,"https://www.google.com/maps/@40.756763,-73.9939,3a,20y,345.72h,91.66t/data=!3m6!1e1!3m4!1sNZJfp0ne7VSkrukTc4rEtw!2e0!7i16384!8i8192?entry=ttu"
32,6620698,0.5,Manhattan,2020-10-01,40.761974,-73.96026,10065,"https://www.google.com/maps/@40.761974,-73.96026,3a,20y,145.51h,86.16t/data=!3m6!1e1!3m4!1sc-I8iGykF2mqbJhBffrvjw!2e0!7i16384!8i8192?entry=ttu"
33,6701600,0.5,Manhattan,2019-10-01,40.717335,-73.999435,10013,"https://www.google.com/maps/@40.717335,-73.999435,3a,20y,346.73h,82.06t/data=!3m6!1e1!3m4!1sLD3AQvnvFnkNev8XyfxYdw!2e0!7i16384!8i8192?entry=ttu"
34,7026315,0.3,Manhattan,2021-10-01,40.764004,-73.9669,10065,"https://www.google.com/maps/@40.764004,-73.9669,3a,20y,330.29h,90.19t/data=!3m6!1e1!3m4!1saveXbtWQL7v6FF2skDby8A!2e0!7i16384!8i8192?entry=ttu"
35,7033182,1.0,Manhattan,2023-03-01,40.70948,-74.00933,10038,"https://www.google.com/maps/@40.70948,-74.00933,3a,20y,183.42h,80.54t/data=!3m6!1e1!3m4!1seXv0B4Hu8NabHQFvYRcNHw!2e0!7i16384!8i8192?entry=ttu"
36,7033209,1.0,Manhattan,2023-03-01,40.70948,-74.00933,10038,"https://www.google.com/maps/@40.70948,-74.00933,3a,20y,187.78h,74.64t/data=!3m6!1e1!3m4!1seXv0B4Hu8NabHQFvYRcNHw!2e0!7i16384!8i8192?entry=ttu"
37,7033269,0.5,Manhattan,2023-03-01,40.70948,-74.00933,10038,"https://www.google.com/maps/@40.70948,-74.00933,3a,20y,197.31h,79.16t/data=!3m6!1e1!3m4!1seXv0B4Hu8NabHQFvYRcNHw!2e0!7i16384!8i8192?entry=ttu"
38,7033341,0.5,Manhattan,2023-03-01,40.70948,-74.00933,10038,"https://www.google.com/maps/@40.70948,-74.00933,3a,20y,203.99h,72.69t/data=!3m6!1e1!3m4!1seXv0B4Hu8NabHQFvYRcNHw!2e0!7i16384!8i8192?entry=ttu"
39,7154576,0.5,Manhattan,2021-10-01,40.763924,-73.966965,10065,"https://www.google.com/maps/@40.763924,-73.966965,3a,20y,243.88h,93.52t/data=!3m6!1e1!3m4!1sOGQRy0ezTD5lbIfk59qEyA!2e0!7i16384!8i8192?entry=ttu"
40,7154581,0.5,Manhattan,2021-10-01,40.763924,-73.966965,10065,"https://www.google.com/maps/@40.763924,-73.966965,3a,20y,249.71h,98.28t/data=!3m6!1e1!3m4!1sOGQRy0ezTD5lbIfk59qEyA!2e0!7i16384!8i8192?entry=ttu"
41,7154600,0.5,Manhattan,2021-10-01,40.763924,-73.966965,10065,"https://www.google.com/maps/@40.763924,-73.966965,3a,20y,250.47h,94.54t/data=!3m6!1e1!3m4!1sOGQRy0ezTD5lbIfk59qEyA!2e0!7i16384!8i8192?entry=ttu"
42,7173502,1.0,Manhattan,2023-03-01,40.709423,-74.009254,10038,"https://www.google.com/maps/@40.709423,-74.009254,3a,20y,252.11h,79.58t/data=!3m6!1e1!3m4!1snnC6EjwszHxtCYFxucZ1-Q!2e0!7i16384!8i8192?entry=ttu"
43,7173534,1.0,Manhattan,2023-03-01,40.709423,-74.009254,10038,"https://www.google.com/maps/@40.709423,-74.009254,3a,20y,265.53h,80.71t/data=!3m6!1e1!3m4!1snnC6EjwszHxtCYFxucZ1-Q!2e0!7i16384!8i8192?entry=ttu"
44,7173616,1.0,Manhattan,2023-03-01,40.709423,-74.009254,10038,"https://www.google.com/maps/@40.709423,-74.009254,3a,20y,270.26h,76.79t/data=!3m6!1e1!3m4!1snnC6EjwszHxtCYFxucZ1-Q!2e0!7i16384!8i8192?entry=ttu"
45,7856148,0.5,Manhattan,2022-07-01,40.710346,-74.00798,10038,"https://www.google.com/maps/@40.710346,-74.00798,3a,20y,336.46h,99.20t/data=!3m6!1e1!3m4!1sDpznZnKNDjFnLjUH7fHgbg!2e0!7i16384!8i8192?entry=ttu"
46,119478677,1.0,Manhattan,2021-08-01,40.725475,-74.003845,10013,"https://www.google.com/maps/@40.725475,-74.003845,3a,20y,313.62h,91.42t/data=!3m6!1e1!3m4!1siLxrfW0r6xth9WmWrNONOA!2e0!7i16384!8i8192?entry=ttu"
47,119637702,0.5,Manhattan,2021-08-01,40.72551,-74.004074,10013,"https://www.google.com/maps/@40.72551,-74.004074,3a,20y,331.71h,90.29t/data=!3m6!1e1!3m4!1sbsH8molIUWGo8kVz_drtKg!2e0!7i16384!8i8192?entry=ttu"
48,119637708,0.5,Manhattan,2021-08-01,40.72551,-74.004074,10013,"https://www.google.com/maps/@40.72551,-74.004074,3a,20y,339.51h,90.16t/data=!3m6!1e1!3m4!1sbsH8molIUWGo8kVz_drtKg!2e0!7i16384!8i8192?entry=ttu"
49,119780855,0.5,Manhattan,2022-07-01,40.725468,-74.00386,10013,"https://www.google.com/maps/@40.725468,-74.00386,3a,20y,319.48h,93.73t/data=!3m6!1e1!3m4!1s4plKaJpCkXOGL__B2Q57_g!2e0!7i16384!8i8192?entry=ttu"
50,7916752,0.5,Manhattan,2023-03-01,40.777634,-73.98221,10023,"https://www.google.com/maps/@40.777634,-73.98221,3a,20y,262.11h,92.74t/data=!3m6!1e1!3m4!1sQF_AAgkHLb3qqJjXX77Fkg!2e0!7i16384!8i8192?entry=ttu"
51,8095865,1.0,Manhattan,2023-09-01,40.76805,-73.96817,10065,"https://www.google.com/maps/@40.76805,-73.96817,3a,20y,148.45h,72.99t/data=!3m6!1e1!3m4!1sWVpe8mMZh8q6QNaXN8LP8w!2e0!7i16384!8i8192?entry=ttu"
